date,day,dell,SP500
23-May-12,1,12.49,1318.86
24-May-12,2,12.45,1320.68
25-May-12,3,12.46,1317.82
29-May-12,4,12.66,1332.42
30-May-12,5,12.56,1313.32
31-May-12,6,12.33,1310.33
1-Jun-12,7,12.07,1278.04
4-Jun-12,8,12,1278.18
5-Jun-12,9,12.16,1285.5
6-Jun-12,10,12.22,1315.13
7-Jun-12,11,12.13,1314.99
8-Jun-12,12,12.12,1325.66
11-Jun-12,13,11.86,1308.93
12-Jun-12,14,11.97,1324.18
13-Jun-12,15,12.28,1314.88
14-Jun-12,16,12.34,1329.1
15-Jun-12,17,12.3,1342.84
18-Jun-12,18,12.42,1344.78
19-Jun-12,19,12.18,1357.98
20-Jun-12,20,12.3,1355.69
21-Jun-12,21,12,1325.51
22-Jun-12,22,12.2,1335.02
25-Jun-12,23,11.95,1313.72
26-Jun-12,24,11.93,1319.99
27-Jun-12,25,12.33,1331.85
28-Jun-12,26,11.95,1329.04
29-Jun-12,27,12.51,1362.16
2-Jul-12,28,12.39,1365.51
3-Jul-12,29,12.68,1374.02
5-Jul-12,30,12.63,1367.58
6-Jul-12,31,12.56,1354.68
9-Jul-12,32,12.27,1352.46
10-Jul-12,33,12.3,1341.47
11-Jul-12,34,12.28,1341.45
12-Jul-12,35,12.13,1334.76
13-Jul-12,36,12.32,1356.78
16-Jul-12,37,12.19,1353.64
17-Jul-12,38,12.12,1363.67
18-Jul-12,39,12.07,1372.78
19-Jul-12,40,12.23,1376.51
20-Jul-12,41,12.01,1362.66
23-Jul-12,42,11.8,1350.52
24-Jul-12,43,11.57,1338.31
25-Jul-12,44,11.49,1337.89
26-Jul-12,45,11.83,1360.02
27-Jul-12,46,12.03,1385.97
30-Jul-12,47,11.85,1385.3
31-Jul-12,48,11.88,1379.32
1-Aug-12,49,11.79,1375.32
2-Aug-12,50,11.47,1365
3-Aug-12,51,11.7,1390.99
6-Aug-12,52,11.8,1394.23
7-Aug-12,53,12.15,1401.35
8-Aug-12,54,12.3,1402.22
9-Aug-12,55,12.39,1402.8
10-Aug-12,56,12.41,1405.87
13-Aug-12,57,12.33,1404.11
14-Aug-12,58,12.19,1403.93
15-Aug-12,59,12.21,1405.53
16-Aug-12,60,12.23,1415.51
17-Aug-12,61,12.22,1418.16
20-Aug-12,62,12.56,1418.13
21-Aug-12,63,12.34,1413.17
22-Aug-12,64,11.68,1413.49
