Date,month,FB,lagFB,logFB,laglogFB
1-Jun-12,1,31.1,,3.437,
1-Jul-12,2,21.71,31.1,3.078,3.437
1-Aug-12,3,18.06,21.71,2.894,3.078
1-Sep-12,4,21.66,18.06,3.075,2.894
1-Oct-12,5,21.11,21.66,3.05,3.075
1-Nov-12,6,28,21.11,3.332,3.05
1-Dec-12,7,26.62,28,3.282,3.332
1-Jan-13,8,30.98,26.62,3.433,3.282
1-Feb-13,9,27.25,30.98,3.305,3.433
1-Mar-13,10,25.58,27.25,3.242,3.305
1-Apr-13,11,27.77,25.58,3.324,3.242
1-May-13,12,24.35,27.77,3.193,3.324
1-Jun-13,13,24.88,24.35,3.214,3.193
1-Jul-13,14,36.8,24.88,3.605,3.214
1-Aug-13,15,41.29,36.8,3.721,3.605
1-Sep-13,16,50.23,41.29,3.917,3.721
1-Oct-13,17,50.21,50.23,3.916,3.917
1-Nov-13,18,47.01,50.21,3.85,3.916
1-Dec-13,19,54.65,47.01,4.001,3.85
1-Jan-14,20,62.57,54.65,4.136,4.001
1-Feb-14,21,68.46,62.57,4.226,4.136
1-Mar-14,22,60.24,68.46,4.098,4.226
1-Apr-14,23,59.78,60.24,4.091,4.098
1-May-14,24,63.3,59.78,4.148,4.091
1-Jun-14,25,67.29,63.3,4.209,4.148
1-Jul-14,26,72.65,67.29,4.286,4.209
1-Aug-14,27,74.82,72.65,4.315,4.286
1-Sep-14,28,79.04,74.82,4.37,4.315
1-Oct-14,29,74.99,79.04,4.317,4.37
1-Nov-14,30,77.7,74.99,4.353,4.317
1-Dec-14,31,78.02,77.7,4.357,4.353
1-Jan-15,32,75.91,78.02,4.33,4.357
1-Feb-15,33,78.97,75.91,4.369,4.33
1-Mar-15,34,82.22,78.97,4.409,4.369
1-Apr-15,35,78.77,82.22,4.367,4.409
1-May-15,36,79.19,78.77,4.372,4.367
1-Jun-15,37,85.77,79.19,4.452,4.372
1-Jul-15,38,94.01,85.77,4.543,4.452
1-Aug-15,39,89.43,94.01,4.493,4.543
1-Sep-15,40,89.9,89.43,4.499,4.493
1-Oct-15,41,101.97,89.9,4.625,4.499
1-Nov-15,42,104.24,101.97,4.647,4.625
1-Dec-15,43,104.66,104.24,4.651,4.647
1-Jan-16,44,112.21,104.66,4.72,4.651
1-Feb-16,45,106.92,112.21,4.672,4.72
1-Mar-16,46,114.1,106.92,4.737,4.672
1-Apr-16,47,117.58,114.1,4.767,4.737
1-May-16,48,118.81,117.58,4.778,4.767
1-Jun-16,49,114.28,118.81,4.739,4.778
1-Jul-16,50,123.94,114.28,4.82,4.739
1-Aug-16,51,126.12,123.94,4.837,4.82
1-Sep-16,52,128.27,126.12,4.854,4.837
1-Oct-16,53,130.99,128.27,4.875,4.854
1-Nov-16,54,118.42,130.99,4.774,4.875
1-Dec-16,55,115.05,118.42,4.745,4.774
1-Jan-17,56,130.32,115.05,4.87,4.745
1-Feb-17,57,135.54,130.32,4.909,4.87
1-Mar-17,58,142.05,135.54,4.956,4.909
1-Apr-17,59,150.25,142.05,5.012,4.956
1-May-17,60,151.46,150.25,5.02,5.012
1-Jun-17,61,150.98,151.46,5.017,5.02
1-Jul-17,62,169.25,150.98,5.131,5.017
1-Aug-17,63,171.97,169.25,5.147,5.131
1-Sep-17,64,170.87,171.97,5.141,5.147
1-Oct-17,65,180.06,170.87,5.193,5.141
1-Nov-17,66,177.18,180.06,5.177,5.193
1-Dec-17,67,176.46,177.18,5.173,5.177
1-Jan-18,68,186.89,176.46,5.231,5.173
1-Feb-18,69,178.32,186.89,5.184,5.231
1-Mar-18,70,159.79,178.32,5.074,5.184
1-Apr-18,71,172,159.79,5.147,5.074
1-May-18,72,191.78,172,5.256,5.147
1-Jun-18,73,194.32,191.78,5.27,5.256
1-Jul-18,74,172.58,194.32,5.151,5.27
1-Aug-18,75,175.73,172.58,5.169,5.151
1-Sep-18,76,164.46,175.73,5.103,5.169
1-Oct-18,77,151.79,164.46,5.022,5.103
1-Nov-18,78,140.61,151.79,4.946,5.022
1-Dec-18,79,131.09,140.61,4.876,4.946
1-Jan-19,80,166.69,131.09,5.116,4.876
1-Feb-19,81,161.45,166.69,5.084,5.116
1-Mar-19,82,166.69,161.45,5.116,5.084
1-Apr-19,83,193.4,166.69,5.265,5.116
1-May-19,84,177.47,193.4,5.179,5.265
1-Jun-19,85,193,177.47,5.263,5.179
1-Jul-19,86,194.23,193,5.269,5.263
1-Aug-19,87,185.67,194.23,5.224,5.269
1-Sep-19,88,178.08,185.67,5.182,5.224
1-Oct-19,89,191.65,178.08,5.256,5.182
1-Nov-19,90,201.64,191.65,5.306,5.256
1-Dec-19,91,205.25,201.64,5.324,5.306
1-Jan-20,92,201.91,205.25,5.308,5.324
1-Feb-20,93,192.47,201.91,5.26,5.308
1-Mar-20,94,166.8,192.47,5.117,5.26
1-Apr-20,95,204.71,166.8,5.322,5.117
1-May-20,96,225.09,204.71,5.417,5.322
1-Jun-20,97,227.07,225.09,5.425,5.417
1-Jul-20,98,253.67,227.07,5.536,5.425
1-Aug-20,99,293.2,253.67,5.681,5.536
1-Sep-20,100,261.9,293.2,5.568,5.681
1-Oct-20,101,263.11,261.9,5.573,5.568
1-Nov-20,102,276.97,263.11,5.624,5.573
1-Dec-20,103,273.16,276.97,5.61,5.624
1-Jan-21,104,258.33,273.16,5.554,5.61
1-Feb-21,105,257.62,258.33,5.551,5.554
1-Mar-21,106,294.53,257.62,5.685,5.551
1-Apr-21,107,302.82,294.53,5.713,5.685
