"temp","gasbill","billingdays","dailyspend"
26,112.72,36,3.13111111111111
18,95.88,30,3.196
24,134.65,29,4.64310344827586
41,15.32,28,0.547142857142857
45,47.33,34,1.39205882352941
60,89.87,32,2.8084375
66,25.55,25,1.022
72,8.08,32,0.2525
72,17.66,29,0.608965517241379
64,21.39,32,0.6684375
54,41.19,29,1.42034482758621
37,102.52,33,3.10666666666667
11,210.87,31,6.80225806451613
70,3.42,10,0.342
76,12.79,30,0.426333333333333
75,18.1,31,0.583870967741935
64,20.17,30,0.672333333333333
51,32.38,29,1.11655172413793
48,53.6,33,1.62424242424242
23,127.86,32,3.995625
28,102.85,29,3.54655172413793
21,113.63,29,3.91827586206897
45,70.34,32,2.198125
51,48.92,30,1.63066666666667
69,23.42,29,0.807586206896552
76,18.61,32,0.5815625
72,17.56,29,0.60551724137931
69,18.16,30,0.605333333333333
47,55.74,29,1.92206896551724
34,94.67,31,3.05387096774194
25,140.49,35,4.014
17,187.05,29,6.45
29,176.02,29,6.06965517241379
46,86.83,32,2.7134375
56,43.77,30,1.459
67,24.46,29,0.843448275862069
72,21.28,32,0.665
75,19.56,29,0.67448275862069
69,21.08,30,0.702666666666667
53,45.28,31,1.46064516129032
35,106.61,29,3.67620689655172
25,168.93,35,4.82657142857143
15,216.89,30,7.22966666666667
16,193.45,29,6.67068965517241
35,124.18,31,4.0058064516129
48,65.67,30,2.189
58,39.4,29,1.35862068965517
64,25.14,32,0.785625
72,15.59,30,0.519666666666667
67,21.72,29,0.748965517241379
71,21.25,32,0.6640625
43,88.51,29,3.05206896551724
23,224.18,35,6.40514285714286
15,223.92,30,7.464
29,166.63,28,5.95107142857143
31,117.05,33,3.5469696969697
54,64.99,30,2.16633333333333
56,61.81,28,2.2075
72,27.3,32,0.853125
78,19.96,30,0.665333333333333
74,18.16,29,0.626206896551724
69,22.33,32,0.6978125
56,55.74,29,1.92206896551724
41,153.24,33,4.64363636363636
21,240.9,31,7.77096774193548
30,193.84,32,6.0575
22,198.11,29,6.83137931034483
34,138.65,29,4.78103448275862
53,55,29,1.89655172413793
59,47.39,29,1.63413793103448
74,19.19,32,0.5996875
78,16.37,30,0.545666666666667
77,15.88,29,0.547586206896552
64,25.74,32,0.804375
50,46.12,29,1.59034482758621
41,106.54,33,3.22848484848485
30,159.08,31,5.13161290322581
24,178.16,32,5.5675
13,207.53,29,7.15620689655172
38,118.78,29,4.09586206896552
46,82.76,30,2.75866666666667
65,32.98,32,1.030625
74,21.41,29,0.738275862068966
76,22.87,30,0.762333333333333
75,19.17,31,0.618387096774194
68,24.54,30,0.818
58,38.59,29,1.33068965517241
41,104.52,33,3.16727272727273
18,194.91,31,6.28741935483871
15,207.32,29,7.14896551724138
28,167.3,30,5.57666666666667
45,97.11,31,3.13258064516129
55,52.15,30,1.73833333333333
68,20.97,29,0.723103448275862
76,69.82,32,2.181875
75,26.83,29,0.925172413793103
67,29.77,31,0.960322580645161
55,41.74,31,1.34645161290323
39,93.6,29,3.22758620689655
18,209.21,35,5.97742857142857
9,225.72,30,7.524
23,147.82,29,5.09724137931034
32,114.66,31,3.69870967741935
47,58.03,30,1.93433333333333
61,37.33,30,1.24433333333333
69,24.88,31,0.80258064516129
71,22.86,30,0.762
72,19.43,29,0.67
69,23.72,32,0.74125
45,58.38,29,2.01310344827586
46,61.46,29,2.11931034482759
22,131.49,36,3.6525
15,180.73,29,6.23206896551724
20,163.62,31,5.27806451612903
41,79.15,29,2.72931034482759
56,29.44,29,1.0151724137931
60,38.29,29,1.32034482758621
